a,7857,0.00500,"NPTS,",DT
-0.002008098,-0.001903365,0.0002513349,0.002911821,0.002896675
0.002933414,0.002943131,0.002947354,0.002948971,0.002948605
0.002947066,0.002946359,0.002943666,0.002935864,0.002926858
0.002917865,0.002908809,0.002903473,0.002900885,0.00289858
0.002890345,0.002870366,0.002846176,0.002820495,0.002791411
0.002767349,0.002757156,0.002762229,0.002777954,0.002797812
0.002819618,0.002846421,0.002870895,0.002876478,0.002858624
0.002828789,0.002800154,0.002780081,0.002776617,0.002791293
0.002814096,0.002839322,0.002861203,0.002867997,0.00284934
0.002808887,0.002766539,0.002733384,0.002719473,0.002738078
0.002780382,0.00282254,0.002846187,0.002836412,0.002786545
0.002709183,0.002627945,0.002557326,0.002517956,0.002541612
0.002619269,0.002714516,0.002804863,0.00285802,0.002837398
0.002757045,0.002667476,0.002590946,0.002524081,0.002475763
0.002452851,0.002439272,0.002429444,0.002433961,0.00245565
0.002493334,0.002556915,0.002672228,0.00282667,0.002937168
0.00291424,0.002754652,0.002549041,0.002376969,0.002253062
0.002199994,0.0022635,0.002406902,0.002541183,0.002633285
0.002658565,0.002600405,0.002503885,0.00239514,0.002254687
0.002142748,0.002196482,0.00243127,0.002732466,0.003014511
0.00316069,0.003019599,0.002643661,0.002234172,0.001852381
0.001536259,0.001482387,0.001762699,0.002181666,0.002557601
0.002777829,0.002697928,0.002341373,0.001919926,0.001509403
0.001066671,0.000712304,0.0006887257,0.001125562,0.00185495
0.002570805,0.003120058,0.003367977,0.003198053,0.00274727
0.00228464,0.001920006,0.001582604,0.001238355,0.001043283
0.001218354,0.001675429,0.002119198,0.002417383,0.002506105
0.002352636,0.002084349,0.001854018,0.001684695,0.001587109
0.001617681,0.00175439,0.001894523,0.002013591,0.002149525
0.002313956,0.002483666,0.002515255,0.00222112,0.00161583
0.0009613733,0.0006376032,0.0008207354,0.001227981,0.001516253
0.001632581,0.001616247,0.001457408,0.001230387,0.001165221
0.00147274,0.002081556,0.002769037,0.003473449,0.003906119
0.00358979,0.002671321,0.001669314,0.0006868335,-0.0003453706
-0.001088442,-0.0011094,-0.0003957945,0.000653145,0.00160661
0.002348152,0.002777583,0.002696731,0.002233104,0.001852111
0.001836921,0.00207806,0.002332801,0.002573859,0.002789644
0.002610116,0.001927509,0.001048732,0.0002232555,-0.0003520176
-0.0004086231,0.0002079093,0.001147659,0.001935774,0.002497087
0.00291616,0.003167477,0.003128685,0.002857629,0.00262272
0.002435209,0.00225257,0.002082336,0.001835178,0.001666831
0.001855953,0.00227976,0.002378433,0.001933466,0.001395298
0.001231676,0.001469636,0.001796667,0.001947563,0.001907667
0.001677764,0.001212188,0.0007109059,0.0005630594,0.0009039524
0.001520171,0.002189503,0.00286858,0.003263271,0.00285189
0.001762131,0.0006544091,4.700138e-06,-0.0001368059,2.909088e-05
0.0003640446,0.0007743371,0.00118428,0.001580605,0.002017291
0.00244611,0.002813422,0.003124716,0.003249001,0.002963005
0.002308731,0.001688228,0.001255388,0.0008336542,0.000326244
-0.0002258225,-0.0007249144,-0.0009169072,-0.0006620362,-0.0002513761
3.75293e-05,0.0002386101,0.0004960358,0.0008229475,0.001172687
0.001690245,0.002500058,0.003349339,0.003721412,0.003277427
0.002242835,0.001145618,0.0002655464,-0.0003891689,-0.0006723669
-0.0004997594,-0.0001788617,8.521562e-05,0.0002526516,0.0003750091
0.000579292,0.0008749714,0.001125393,0.001266126,0.001401826
0.001541956,0.001693315,0.001860583,0.002114578,0.002480481
0.00278899,0.002962735,0.002884761,0.002475424,0.001831495
0.00100742,-0.0001746702,-0.00186633,-0.003635966,-0.004856395
-0.004868193,-0.003162565,-0.0004586339,0.002143454,0.003972782
0.00454529,0.004137703,0.003285898,0.002465197,0.002278823
0.002616917,0.002854934,0.002784691,0.002538123,0.00209016
0.001224349,0.0001431678,-0.0007053264,-0.001062521,-0.0004854501
0.001173798,0.003140427,0.004681125,0.005413802,0.005045966
0.003807083,0.002403745,0.001589779,0.001527735,0.001681944
0.001608481,0.001307998,0.0006746412,-0.0003782406,-0.001438207
-0.001997994,-0.001573441,-0.0002436221,0.00106038,0.00192903
0.002402695,0.002419809,0.002121539,0.001742624,0.001672933
0.001984361,0.002618496,0.003786273,0.005248729,0.006778856
0.00752288,0.006104138,0.00299148,-0.0002965456,-0.003229063
-0.005707793,-0.007010195,-0.006424279,-0.004086519,-0.001044184
0.002068725,0.00535376,0.008348734,0.009833338,0.00924224
0.007345913,0.005396093,0.003942256,0.002504216,0.0009149205
-0.0007489207,-0.002389244,-0.003617499,-0.004286963,-0.004174789
-0.003217628,-0.002102687,-0.001267603,-0.0005313331,0.0002363847
0.001066346,0.001993503,0.002975274,0.003874415,0.004819155
0.005952934,0.00700348,0.007901619,0.008269826,0.007160535
0.004680816,0.001871272,-0.0005992223,-0.002861182,-0.005183043
-0.00646808,-0.005395319,-0.002427841,0.0008243382,0.003266902
0.005127635,0.00649552,0.00686476,0.006449107,0.005712345
0.00502453,0.004749123,0.004774946,0.005035157,0.005232261
0.004447405,0.002012978,-0.001696889,-0.005622318,-0.00859315
-0.009403752,-0.00776102,-0.00456935,-0.001365326,0.0003268858
0.000486706,0.0003926329,0.001113091,0.002930631,0.005053814
0.006716664,0.008141696,0.009238716,0.009087713,0.007304145
0.004545319,0.001576808,-0.001098408,-0.003423388,-0.005719711
-0.007162575,-0.006331169,-0.003361098,0.0001341688,0.003157025
0.005061438,0.004754058,0.002698351,0.0001839619,-0.002561606
-0.005148492,-0.006627924,-0.005859358,-0.001955433,0.003953935
0.009397502,0.01247713,0.01208211,0.008305185,0.003156975
-0.001192578,-0.004718055,-0.00750757,-0.008345295,-0.006814769
-0.003547528,0.0005515654,0.00432143,0.007388713,0.01023472
0.01243906,0.01299917,0.01184855,0.009969376,0.007579813
0.005041812,0.003062558,0.001505823,0.0004835517,0.0001312013
0.000726447,0.001757146,0.00251841,0.002831236,0.003099279
0.003746433,0.004068151,0.003601189,0.00216158,-0.000297309
-0.002549915,-0.002589547,0.0007209854,0.007280569,0.01459641
0.01850799,0.01577571,0.006321731,-0.00528759,-0.01462785
-0.01976368,-0.01920869,-0.01297626,-0.002911998,0.007153149
0.01321048,0.01379577,0.01004292,0.004452231,-0.0007960912
-0.004990826,-0.007682238,-0.007290736,-0.003725412,0.001489235
0.006229326,0.008828739,0.009398693,0.008279131,0.006207484
0.003854049,0.001425702,-0.0004742508,-0.001590596,-0.002375826
-0.002406263,-0.001642244,-0.000653096,-0.0003276589,-0.003482309
-0.01074821,-0.0198766,-0.02579292,-0.02272326,-0.01069841
0.005671825,0.02147787,0.03423332,0.04178344,0.03898393
0.02151389,-0.006910053,-0.03418655,-0.0475295,-0.04206374
-0.02062154,0.009254669,0.03396287,0.04114174,0.03062134
0.01264804,-0.00173656,-0.007493107,-0.006609862,-0.004037574
-0.004273938,-0.008604459,-0.0154497,-0.02217175,-0.02487784
-0.0206694,-0.01114127,-0.0007681742,0.008811754,0.01726736
0.02154755,0.01791932,0.009067259,0.004419927,0.009098319
0.01655513,0.01482633,0.001630764,-0.01365816,-0.02236107
-0.02347251,-0.02121789,-0.01983989,-0.01861969,-0.01217354
0.0004227791,0.01055404,0.01045305,0.00518181,0.00587837
0.01481112,0.02065397,0.01110067,-0.01031138,-0.02737538
-0.0305694,-0.02647944,-0.02566149,-0.03009465,-0.03357859
-0.02783839,-0.01011373,0.01337901,0.03429814,0.04799112
0.05117244,0.04045401,0.01348258,-0.02514233,-0.06242825
-0.08453174,-0.08292687,-0.05705442,-0.01607939,0.02142298
0.04186913,0.0493968,0.05511763,0.06188258,0.06359553
0.05202949,0.02493936,-0.009515106,-0.04023904,-0.06094252
-0.06955317,-0.06591585,-0.04947538,-0.02108431,0.01249624
0.04093991,0.0571761,0.06104413,0.05516756,0.04175425
0.02439751,0.006614741,-0.009927412,-0.02437756,-0.03473383
-0.03722555,-0.03126191,-0.02284811,-0.01795678,-0.01538745
-0.007658973,0.0110922,0.03519867,0.05180406,0.05467816
0.04238668,0.01103113,-0.03555611,-0.07752105,-0.09708086
-0.09516446,-0.07742976,-0.03897103,0.02266697,0.09105507
0.1390408,0.1511692,0.1326667,0.09612565,0.04482649
-0.01741093,-0.07106303,-0.09941266,-0.1038481,-0.09448707
-0.07509238,-0.04299662,-0.006571611,0.01985327,0.03148134
0.03105231,0.02466804,0.01794185,0.01199495,0.005558923
-0.001939304,-0.01016456,-0.01705696,-0.02141513,-0.02365405
-0.0206767,-0.00927232,0.008625556,0.0267273,0.03524723
0.02647862,-0.001940292,-0.04358722,-0.08282759,-0.1038508
-0.09580658,-0.05566667,0.006193452,0.06311887,0.09291407
0.09792788,0.08826677,0.06525622,0.02900748,-0.007888944
-0.0291071,-0.03290074,-0.02742873,-0.02087796,-0.01929313
-0.02481184,-0.03485939,-0.04553922,-0.05479405,-0.06112786
-0.06116205,-0.05004729,-0.02563676,0.004741596,0.02617941
0.03211139,0.03073787,0.03191865,0.03700091,0.04212116
0.04486881,0.04417973,0.03741073,0.01993951,-0.009271352
-0.03893765,-0.05376642,-0.05157042,-0.03849136,-0.01679909
0.01149167,0.03794934,0.05059921,0.04478643,0.02902525
0.01500036,0.006947755,0.005261802,0.009082724,0.0152751
0.02089212,0.02470712,0.0260723,0.02313872,0.01061603
-0.01666178,-0.05422742,-0.08942015,-0.1113444,-0.1165459
-0.1085758,-0.09215757,-0.06709201,-0.03126455,0.01295792
0.05436126,0.07978428,0.08590775,0.07701184,0.06080195
